clip_name,label
20090328_000000_001s850ms_0.aif,0
20090328_000000_010s100ms_0.aif,0
20090328_000000_021s520ms_0.aif,0
20090328_000000_058s860ms_0.aif,0
20090328_000000_068s100ms_0.aif,0
20090328_000000_076s500ms_0.aif,0
20090328_000000_090s070ms_0.aif,0
20090328_000000_095s460ms_0.aif,0
20090328_000000_102s540ms_0.aif,0
20090328_000000_107s060ms_0.aif,0
20090328_000000_118s070ms_0.aif,0
20090328_000000_120s530ms_0.aif,0
20090328_000000_154s060ms_0.aif,0
20090328_000000_166s950ms_0.aif,0
20090328_000000_169s050ms_0.aif,0
20090328_000000_173s170ms_0.aif,0
20090328_000000_188s811ms_1.aif,1
20090328_000000_209s620ms_0.aif,0
20090328_000000_213s000ms_0.aif,0
20090328_000000_215s100ms_0.aif,0
20090328_000000_220s630ms_0.aif,0
20090328_000000_222s570ms_0.aif,0
20090328_000000_227s900ms_0.aif,0
20090328_000000_229s270ms_0.aif,0
20090328_000000_233s330ms_0.aif,0
20090328_000000_235s755ms_1.aif,1
20090328_000000_245s890ms_0.aif,0
20090328_000000_256s470ms_0.aif,0
20090328_000000_260s150ms_0.aif,0
20090328_000000_264s620ms_0.aif,0
20090328_000000_273s310ms_0.aif,0
20090328_000000_287s620ms_0.aif,0
20090328_000000_301s380ms_0.aif,0
20090328_000000_316s440ms_0.aif,0
20090328_000000_324s460ms_0.aif,0
20090328_000000_347s180ms_0.aif,0
20090328_000000_349s420ms_0.aif,0
20090328_000000_353s490ms_0.aif,0
20090328_000000_358s700ms_0.aif,0
20090328_000000_361s030ms_0.aif,0
20090328_000000_367s040ms_0.aif,0
20090328_000000_378s980ms_0.aif,0
20090328_000000_398s692ms_1.aif,1
20090328_000000_404s920ms_0.aif,0
20090328_000000_406s580ms_0.aif,0
20090328_000000_411s640ms_0.aif,0
20090328_000000_426s500ms_0.aif,0
20090328_000000_438s909ms_1.aif,1
20090328_000000_451s051ms_1.aif,1
20090328_000000_457s600ms_0.aif,0
20090328_000000_477s260ms_0.aif,0
20090328_000000_479s120ms_0.aif,0
20090328_000000_482s550ms_0.aif,0
20090328_000000_487s540ms_0.aif,0
20090328_000000_492s020ms_0.aif,0
20090328_000000_493s800ms_0.aif,0
20090328_000000_496s720ms_0.aif,0
20090328_000000_498s090ms_0.aif,0
20090328_000000_502s200ms_0.aif,0
20090328_000000_506s690ms_0.aif,0
20090328_000000_517s440ms_0.aif,0
20090328_000000_521s080ms_0.aif,0
20090328_000000_522s080ms_0.aif,0
20090328_000000_527s330ms_0.aif,0
20090328_000000_529s120ms_0.aif,0
20090328_000000_531s780ms_0.aif,0
20090328_000000_533s310ms_0.aif,0
20090328_000000_535s000ms_0.aif,0
20090328_000000_538s000ms_0.aif,0
20090328_000000_541s420ms_0.aif,0
20090328_000000_544s440ms_0.aif,0
20090328_000000_547s342ms_1.aif,1
20090328_000000_555s240ms_0.aif,0
20090328_000000_557s640ms_0.aif,0
20090328_000000_559s190ms_0.aif,0
20090328_000000_561s490ms_0.aif,0
20090328_000000_565s381ms_1.aif,1
20090328_000000_567s635ms_1.aif,1
20090328_000000_570s500ms_0.aif,0
20090328_000000_572s850ms_0.aif,0
20090328_000000_575s610ms_0.aif,0
20090328_000000_586s790ms_0.aif,0
20090328_000000_588s620ms_0.aif,0
20090328_000000_591s580ms_0.aif,0
20090328_000000_594s380ms_0.aif,0
20090328_000000_603s740ms_0.aif,0
20090328_000000_609s790ms_0.aif,0
20090328_000000_611s380ms_0.aif,0
20090328_000000_613s770ms_0.aif,0
20090328_000000_619s060ms_0.aif,0
20090328_000000_620s610ms_0.aif,0
20090328_000000_623s020ms_0.aif,0
20090328_000000_626s770ms_0.aif,0
20090328_000000_632s119ms_1.aif,1
20090328_000000_637s220ms_1.aif,1
20090328_000000_639s180ms_0.aif,0
20090328_000000_642s561ms_1.aif,1
20090328_000000_645s888ms_1.aif,1
20090328_000000_647s830ms_0.aif,0
20090328_000000_649s000ms_0.aif,0
20090328_000000_650s800ms_0.aif,0
20090328_000000_654s020ms_1.aif,1
20090328_000000_658s810ms_0.aif,0
20090328_000000_661s530ms_0.aif,0
20090328_000000_671s000ms_0.aif,0
20090328_000000_672s816ms_1.aif,1
20090328_000000_674s790ms_0.aif,0
20090328_000000_688s170ms_0.aif,0
20090328_000000_704s900ms_0.aif,0
20090328_000000_707s640ms_0.aif,0
20090328_000000_709s630ms_0.aif,0
20090328_000000_712s793ms_1.aif,1
20090328_000000_714s000ms_0.aif,0
20090328_000000_721s380ms_0.aif,0
20090328_000000_723s030ms_0.aif,0
20090328_000000_726s990ms_0.aif,0
20090328_000000_728s240ms_0.aif,0
20090328_000000_731s950ms_0.aif,0
20090328_000000_735s174ms_1.aif,1
20090328_000000_740s280ms_0.aif,0
20090328_000000_749s830ms_1.aif,1
20090328_000000_752s480ms_0.aif,0
20090328_000000_754s540ms_0.aif,0
20090328_000000_763s220ms_0.aif,0
20090328_000000_777s580ms_0.aif,0
20090328_000000_784s595ms_1.aif,1
20090328_000000_794s280ms_0.aif,0
20090328_000000_795s340ms_0.aif,0
20090328_000000_805s290ms_0.aif,0
20090328_000000_843s750ms_0.aif,0
20090328_000000_848s390ms_0.aif,0
20090328_000000_858s652ms_1.aif,1
20090328_000000_874s850ms_0.aif,0
20090328_000000_876s410ms_0.aif,0
20090328_000000_879s100ms_0.aif,0
20090328_000000_887s890ms_0.aif,0
20090328_000000_890s293ms_1.aif,1
20090328_000000_895s098ms_1.aif,1
20090328_001500_1000s360ms_0.aif,0
20090328_001500_1014s584ms_1.aif,1
20090328_001500_1020s160ms_0.aif,0
20090328_001500_1022s720ms_0.aif,0
20090328_001500_1025s500ms_0.aif,0
20090328_001500_1037s320ms_0.aif,0
20090328_001500_1042s950ms_0.aif,0
20090328_001500_1046s720ms_0.aif,0
20090328_001500_1050s290ms_0.aif,0
20090328_001500_1051s960ms_0.aif,0
20090328_001500_1057s540ms_0.aif,0
20090328_001500_1060s420ms_0.aif,0
20090328_001500_1066s010ms_0.aif,0
20090328_001500_1068s020ms_0.aif,0
20090328_001500_1069s000ms_0.aif,0
20090328_001500_1071s060ms_0.aif,0
20090328_001500_1078s000ms_0.aif,0
20090328_001500_1089s010ms_0.aif,0
20090328_001500_1091s540ms_0.aif,0
20090328_001500_1093s190ms_0.aif,0
20090328_001500_1098s400ms_0.aif,0
20090328_001500_1106s220ms_0.aif,0
20090328_001500_1108s000ms_0.aif,0
20090328_001500_1111s350ms_0.aif,0
20090328_001500_1113s260ms_0.aif,0
20090328_001500_1116s880ms_0.aif,0
20090328_001500_1119s520ms_0.aif,0
20090328_001500_1125s420ms_0.aif,0
20090328_001500_1127s980ms_0.aif,0
20090328_001500_1133s600ms_0.aif,0
20090328_001500_1137s020ms_0.aif,0
20090328_001500_1141s350ms_0.aif,0
20090328_001500_1144s180ms_0.aif,0
20090328_001500_1154s400ms_0.aif,0
20090328_001500_1160s220ms_0.aif,0
20090328_001500_1162s772ms_1.aif,1
20090328_001500_1164s100ms_0.aif,0
20090328_001500_1166s200ms_0.aif,0
20090328_001500_1168s580ms_0.aif,0
20090328_001500_1171s089ms_1.aif,1
20090328_001500_1175s070ms_0.aif,0
20090328_001500_1178s800ms_0.aif,0
20090328_001500_1192s060ms_0.aif,0
20090328_001500_1193s350ms_0.aif,0
20090328_001500_1196s790ms_0.aif,0
20090328_001500_1200s480ms_0.aif,0
20090328_001500_1209s500ms_0.aif,0
20090328_001500_1212s180ms_0.aif,0
20090328_001500_1220s560ms_0.aif,0
20090328_001500_1223s440ms_0.aif,0
20090328_001500_1224s576ms_1.aif,1
20090328_001500_1230s560ms_0.aif,0
20090328_001500_1233s520ms_0.aif,0
20090328_001500_1235s351ms_1.aif,1
20090328_001500_1241s640ms_0.aif,0
20090328_001500_1243s020ms_0.aif,0
20090328_001500_1245s430ms_0.aif,0
20090328_001500_1247s000ms_0.aif,0
20090328_001500_1250s600ms_0.aif,0
20090328_001500_1254s730ms_0.aif,0
20090328_001500_1256s000ms_0.aif,0
20090328_001500_1264s070ms_0.aif,0
20090328_001500_1268s489ms_1.aif,1
20090328_001500_1288s246ms_1.aif,1
20090328_001500_1292s020ms_0.aif,0
20090328_001500_1294s050ms_1.aif,1
20090328_001500_1299s372ms_1.aif,1
20090328_001500_1305s720ms_0.aif,0
20090328_001500_1316s801ms_1.aif,1
